1,45,Pfizer,38.0436,2020-01-029 16:01:39 548262
1,46,Procter,125.855,2020-01-029 16:01:40 119749
1,47,Progressive,81.13,2020-01-029 16:01:40 823936
1,48,Phillips,59.505,2020-01-029 16:01:41 271179
1,49,Shell,20.705,2020-01-029 16:01:41 718653
2,0,Agilent,88.03,2020-01-029 16:01:42 222539
2,1,American,132.07,2020-01-029 16:01:42 639329
2,2,Abbvie,83.63,2020-01-029 16:01:43 198887
2,3,Abbott,89.82,2020-01-029 16:01:43 654263
2,4,Accenture,210.655,2020-01-029 16:01:44 195087
2,5,Allied,26.4941,2020-01-029 16:01:44 707273
2,6,Liberty,6.7901,2020-01-029 16:01:45 502345
2,7,A10,6.915,2020-01-029 16:01:45 905611
2,8,Azure,12.2803,2020-01-029 16:01:46 401134
2,9,Baxter,91.11,2020-01-029 16:01:46 851426
2,10,Barclays,8.905,2020-01-029 16:01:47 241553
2,11,BankUnited,33.66,2020-01-029 16:01:47 655895
2,12,Caterpillar,136.6325,2020-01-029 16:01:48 108818
2,13,Continental,29.78,2020-01-029 16:01:48 473388
2,14,CBRE,61.5,2020-01-029 16:01:48 877614
2,15,Comcast,56.4,2020-01-029 16:01:49 489034
2,16,China,28.5473,2020-01-029 16:01:49 902237
2,17,CNH,10.045,2020-01-029 16:01:50 373667
2,18,Campbell,48.53,2020-01-029 16:01:50 820627
2,19,CVS,70.895,2020-01-029 16:01:51 346443
2,20,Deutsche,26.1772,2020-01-029 16:01:51 740044
2,21,Dillard's,26.08,2020-01-029 16:01:52 532849
2,22,Dell,48.79,2020-01-029 16:01:53 438222
2,23,Domino's,283.35,2020-01-029 16:01:53 901420
2,24,Ecolab,199.24,2020-01-029 16:01:54 438761
2,25,Emerson,74.8,2020-01-029 16:01:54 807719
2,26,Fidelity,49.0,2020-01-029 16:01:55 120306
2,27,Footlocker,39.455,2020-01-029 16:01:55 627479
2,28,Goldman,21.25,2020-01-029 16:01:56 374886
2,29,GNC,2.135,2020-01-029 16:01:56 826167
2,30,Grubhub,57.65,2020-01-029 16:01:57 171127
2,31,Hyatt,85.285,2020-01-029 16:01:57 572339
2,32,Honeywell,177.58,2020-01-029 16:01:57 876162
2,33,Hewlett,14.6421,2020-01-029 16:01:58 290366
2,34,Israel,4.22,2020-01-029 16:01:58 603268
2,35,Lehman,6.3082,2020-01-029 16:01:59 016866
2,36,Nordstrom,39.28,2020-01-029 16:01:59 711260
2,37,Lumber,7.74,2020-01-029 16:02:00 184513
2,38,Mastercard,319.66,2020-01-029 16:02:00 654519
2,39,Moody's,260.675,2020-01-029 16:02:01 175134
2,40,Medtronic,119.335,2020-01-029 16:02:01 832894
2,41,Motorola,179.56,2020-01-029 16:02:02 402102
2,42,Northwestern,75.58,2020-01-029 16:02:03 091527
2,43,Oppenheimer,26.1,2020-01-029 16:02:03 674118
2,44,Prestige,42.6673,2020-01-029 16:02:03 978216
2,45,Pfizer,38.035,2020-01-029 16:02:04 345707
2,46,Procter,125.88,2020-01-029 16:02:04 883140
2,47,Progressive,81.16,2020-01-029 16:02:05 500679
2,48,Phillips,59.505,2020-01-029 16:02:05 975559
2,49,Shell,20.71,2020-01-029 16:02:06 382922
3,0,Agilent,88.03,2020-01-029 16:02:06 895843
3,1,American,132.01,2020-01-029 16:02:07 310924
3,2,Abbvie,83.615,2020-01-029 16:02:07 703105
3,3,Abbott,89.8,2020-01-029 16:02:08 231603
3,4,Accenture,210.655,2020-01-029 16:02:08 840904
3,5,Allied,26.4941,2020-01-029 16:02:09 455345
3,6,Liberty,6.7901,2020-01-029 16:02:10 275075
3,7,A10,6.915,2020-01-029 16:02:10 892867
3,8,Azure,12.2803,2020-01-029 16:02:11 328906
3,9,Baxter,91.1075,2020-01-029 16:02:11 820767
3,10,Barclays,8.905,2020-01-029 16:02:12 521198
3,11,BankUnited,33.66,2020-01-029 16:02:13 194623
3,12,Caterpillar,136.66,2020-01-029 16:02:13 963092
3,13,Continental,29.79,2020-01-029 16:02:14 682493
3,14,CBRE,61.5,2020-01-029 16:02:15 298603
3,15,Comcast,56.4,2020-01-029 16:02:15 907546
3,16,China,28.5473,2020-01-029 16:02:16 529278
3,17,CNH,10.045,2020-01-029 16:02:17 136847
3,18,Campbell,48.53,2020-01-029 16:02:17 633404
3,19,CVS,70.9,2020-01-029 16:02:18 224031
3,20,Deutsche,26.1772,2020-01-029 16:02:18 629329
3,21,Dillard's,26.08,2020-01-029 16:02:19 282821
3,22,Dell,48.79,2020-01-029 16:02:19 876168
3,23,Domino's,283.35,2020-01-029 16:02:20 629444
3,24,Ecolab,199.31,2020-01-029 16:02:21 240148
3,25,Emerson,74.82,2020-01-029 16:02:21 916529
3,26,Fidelity,49.01,2020-01-029 16:02:22 569301
3,27,Footlocker,39.46,2020-01-029 16:02:23 195321
3,28,Goldman,21.25,2020-01-029 16:02:23 911326
3,29,GNC,2.135,2020-01-029 16:02:24 718097
3,30,Grubhub,57.72,2020-01-029 16:02:25 325519
3,31,Hyatt,85.285,2020-01-029 16:02:25 914476
3,32,Honeywell,177.64,2020-01-029 16:02:26 500969
3,33,Hewlett,14.64,2020-01-029 16:02:27 065077
3,34,Israel,4.22,2020-01-029 16:02:27 585554
3,35,Lehman,6.3082,2020-01-029 16:02:28 194459
3,36,Nordstrom,39.29,2020-01-029 16:02:29 020606
3,37,Lumber,7.75,2020-01-029 16:02:29 582345
3,38,Mastercard,319.62,2020-01-029 16:02:30 245527
3,39,Moody's,260.675,2020-01-029 16:02:30 871322
3,40,Medtronic,119.34,2020-01-029 16:02:31 475255
3,41,Motorola,179.6,2020-01-029 16:02:32 230071
3,42,Northwestern,75.58,2020-01-029 16:02:33 176956
3,43,Oppenheimer,26.1,2020-01-029 16:02:33 890597
3,44,Prestige,42.6673,2020-01-029 16:02:34 473957
3,45,Pfizer,38.045,2020-01-029 16:02:35 217484
3,46,Procter,125.86,2020-01-029 16:02:35 679066
3,47,Progressive,80.97,2020-01-029 16:02:36 298580
3,48,Phillips,59.505,2020-01-029 16:02:37 019977
3,49,Shell,20.705,2020-01-029 16:02:37 717960
4,0,Agilent,88.01,2020-01-029 16:02:38 333685
4,1,American,131.92,2020-01-029 16:02:38 952283
4,2,Abbvie,83.63,2020-01-029 16:02:39 462975
4,3,Abbott,89.81,2020-01-029 16:02:39 969426
4,4,Accenture,210.62,2020-01-029 16:02:40 454196
4,5,Allied,26.4941,2020-01-029 16:02:41 091116
4,6,Liberty,6.7901,2020-01-029 16:02:41 719754
4,7,A10,6.915,2020-01-029 16:02:42 351144
4,8,Azure,12.2803,2020-01-029 16:02:42 952647
4,9,Baxter,91.08,2020-01-029 16:02:43 637228
4,10,Barclays,8.905,2020-01-029 16:02:44 358856
4,11,BankUnited,33.67,2020-01-029 16:02:45 193972
4,12,Caterpillar,136.72,2020-01-029 16:02:45 863842
